q1_sex	q2_age	q3_goods	q4_spend	q5_delivery	q6_paymode	q7_isCustomer	q8_lastSpend	q9_lastDelivery	q10_fraudRisk	q11_rateValue	q11_rateDeliver	q11_rateReturn	q12_need	q13_value	q14_speed	q15_site	q16_effort	q17_effortExpected	q18_support	q19_buyAgain	q20_recommend	q_satisfaction	payMode2
1	43	1	44.81	14	2	1	55.81	7	1	1	2	1	3	3	4	2	2	5	1	2	3	20	1
2	58	1	55.65	10	2	1	69.65	13	4	2	2	1	4	2	3	3	3	4	4	3	5	27	1
2	60	3	62.73	10	4	1	76.73	10	3	2	2	1	4	4	4	5	3	5	4	3	4	31	NA
2	46	2	60.6	14	3	2	62.6	14	5	2	2	1	5	4	5	3	3	1	5	3	3	31	2
1	30	1	48.02	11	3	2	52.02	18	2	1	2	2	3	3	4	3	4	4	5	4	2	28	2
2	46	3	55.92	9	2	1	71.92	16	2	2	2	1	3	4	4	5	3	1	3	3	4	29	1
1	58	2	53.53	8	1	1	59.53	18	5	1	2	2	3	3	2	3	4	3	5	2	3	25	1
2	42	1	48.16	15	3	1	56.16	16	4	1	2	1	2	2	2	3	5	1	4	4	3	25	2
2	67	3	63.77	17	1	1	69.77	16	5	2	2	1	5	5	5	3	4	4	4	3	4	33	1
1	43	1	47	18	3	1	59	14	2	2	2	2	5	4	3	2	4	5	3	3	2	26	2
2	40	2	59.46	7	3	2	64.46	9	4	1	2	1	2	5	5	4	4	4	4	3	5	32	2
2	52	2	56.26	12	3	1	70.26	11	3	2	2	2	5	3	5	3	3	1	3	3	5	31	2
1	50	1	48.5	14	2	1	47.5	9	3	1	2	1	2	3	3	3	3	5	1	2	3	20	1
2	45	2	56.76	10	2	1	60.76	11	4	2	2	1	4	3	5	3	3	4	4	4	1	27	1
1	44	2	49.58	8	1	1	59.58	NA	2	1	2	1	5	3	3	2	2	2	1	4	2	23	1
2	61	2	50.17	18	1	1	63.17	14	4	2	2	1	3	4	4	3	3	3	5	4	4	30	1
2	59	3	NA	16	3	2	71.26	16	3	1	2	2	5	5	5	5	3	5	5	5	5	39	2
2	63	2	61.53	10	3	1	68.53	12	2	1	2	1	4	3	3	3	3	4	3	4	5	28	2
1	42	1	48.92	15	2	1	49.92	11	3	NA	2	1	3	1	4	4	2	2	5	3	3	25	1
1	31	2	51.61	17	3	NA	63.61	15	4	1	2	2	3	3	4	2	2	3	3	4	4	25	2
1	52	1	54.22	16	2	1	56.22	16	2	1	2	2	2	2	3	4	3	3	2	3	2	21	1
1	48	2	56.03	18	3	1	60.03	17	3	1	2	1	1	2	4	4	4	4	3	4	3	25	2
2	56	3	66.57	9	3	1	68.57	10	2	2	2	1	5	5	4	4	4	2	3	3	3	32	2
1	45	2	62.62	16	1	2	NA	18	3	2	1	1	3	3	5	3	4	4	5	3	2	28	1
2	47	2	54.11	9	1	1	65.11	16	3	2	1	NA	3	3	5	4	3	1	3	4	5	30	1
2	49	3	67.98	12	2	2	75.98	16	4	2	1	1	4	5	5	4	5	2	2	5	5	35	1
1	38	2	50.59	14	3	1	61.59	15	3	1	1	2	4	3	2	3	3	1	2	2	5	24	2
2	54	3	67.44	18	1	2	NA	12	3	1	2	1	4	5	5	2	4	5	5	4	5	36	1
1	46	1	46.49	9	3	1	51.49	8	5	2	2	1	3	3	4	1	3	3	3	3	2	22	2
2	44	3	54.36	10	3	1	65.36	10	2	2	2	2	5	5	5	3	3	3	4	2	3	30	2
1	32	2	55.33	17	3	2	63.33	7	2	1	2	1	2	4	4	4	5	1	3	2	4	28	2
